Level,District Code,District Name,School Name,Test,Grade,Number of Total Records,Number of Valid Scores,Number of No Scores,Participation Rate,Total Score Mean Score,Total Score Standard Deviation,Evidence-Based Reading & Writing Mean Score,Evidence-Based Reading & Writing Standard Deviation,Mathematics Mean Score,Mathematics Standard Deviation,Total Score Mean Score,Evidence-Based Reading & Writing Mean Score,Mathematics Mean Score,Total Score Mean Score,Evidence-Based Reading & Writing Mean Score,Mathematics Mean Score
DISTRICT,2580,OURAY R-1,All Schools,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,2580,OURAY R-1,All Schools,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,1123,553,571,- -,- -,- -
DISTRICT,2590,RIDGWAY R-2,All Schools,PSAT,09,      23,      23,       0,100.0,926,146,480,88,446,76,994,510,484,-68,-30,-38
DISTRICT,2590,RIDGWAY R-2,All Schools,PSAT,10,      27,      27,       0,100.0,1047,182,540,102,507,90,1030,540,490,17,0,17
DISTRICT,2590,RIDGWAY R-2,All Schools,SAT,11,      27,      26,       1,96.3,1079,188,557,96,522,102,1097,570,526,-18,-13,-4
DISTRICT,2600,PLATTE CANYON 1,All Schools,PSAT,09,      57,      56,       1,98.2,946,157,481,90,465,76,953,485,469,-7,-4,-4
DISTRICT,2600,PLATTE CANYON 1,All Schools,PSAT,10,      48,      47,       1,97.9,977,184,502,105,476,93,1015,514,501,-38,-12,-25
DISTRICT,2600,PLATTE CANYON 1,All Schools,SAT,11,      57,      57,       0,100.0,1043,190,535,98,508,103,992,508,484,51,27,24
DISTRICT,2610,PARK COUNTY RE-2,All Schools,PSAT,09,      31,      30,       1,96.8,878,135,457,78,422,67,868,443,425,10,14,-3
DISTRICT,2610,PARK COUNTY RE-2,All Schools,PSAT,10,      35,      34,       1,97.1,922,162,466,87,456,82,904,447,457,18,19,-1
DISTRICT,2610,PARK COUNTY RE-2,All Schools,SAT,11,      25,      23,       2,92.0,925,197,460,90,465,117,973,494,479,-48,-34,-14
DISTRICT,2620,HOLYOKE RE-1J,All Schools,PSAT,09,      50,      48,       2,96.0,893,167,462,100,431,76,907,470,437,-14,-8,-6
DISTRICT,2620,HOLYOKE RE-1J,All Schools,PSAT,10,      37,      32,       5,86.5,875,136,451,80,424,66,944,487,457,-69,-36,-33
DISTRICT,2620,HOLYOKE RE-1J,All Schools,SAT,11,      43,      41,       2,95.3,979,157,494,86,485,84,952,488,464,27,6,21
DISTRICT,2630,HAXTUN RE-2J,All Schools,PSAT,09,      30,      19,      11,63.3,934,159,474,88,461,79,874,458,416,60,16,45
DISTRICT,2630,HAXTUN RE-2J,All Schools,PSAT,10,      20,      20,       0,100.0,915,101,473,71,442,48,- -,- -,- -,- -,- -,- -
DISTRICT,2630,HAXTUN RE-2J,All Schools,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,998,499,500,- -,- -,- -
DISTRICT,2640,ASPEN 1,All Schools,PSAT,09,     155,     145,      10,93.5,976,131,493,75,483,72,992,510,482,-16,-17,1
DISTRICT,2640,ASPEN 1,All Schools,PSAT,10,     128,     118,      10,92.2,1041,179,536,94,505,97,1015,516,499,26,20,6
DISTRICT,2640,ASPEN 1,All Schools,SAT,11,     141,     119,      22,84.4,1089,172,542,84,547,99,1134,570,563,-45,-28,-16
DISTRICT,2650,GRANADA RE-1,All Schools,PSAT,09,      17,      17,       0,100.0,857,123,439,67,418,65,- -,- -,- -,- -,- -,- -
DISTRICT,2650,GRANADA RE-1,All Schools,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,2650,GRANADA RE-1,All Schools,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,2660,LAMAR RE-2,All Schools,PSAT,09,     109,     109,       0,100.0,852,161,425,81,426,87,847,423,424,5,2,2
DISTRICT,2660,LAMAR RE-2,All Schools,PSAT,10,     116,     113,       3,97.4,848,140,428,83,420,69,887,447,440,-39,-19,-20
DISTRICT,2660,LAMAR RE-2,All Schools,SAT,11,      99,      94,       5,94.9,926,175,467,94,459,90,877,446,432,49,21,27
DISTRICT,2670,HOLLY RE-3,All Schools,PSAT,09,      30,      30,       0,100.0,841,130,433,75,408,65,856,435,421,-15,-2,-13
DISTRICT,2670,HOLLY RE-3,All Schools,PSAT,10,      25,      25,       0,100.0,877,125,436,79,441,55,916,463,453,-39,-27,-12
DISTRICT,2670,HOLLY RE-3,All Schools,SAT,11,      18,      17,       1,94.4,931,138,454,78,477,77,1019,497,522,-88,-43,-45
DISTRICT,2680,WILEY RE-13 JT,All Schools,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,892,441,451,- -,- -,- -
DISTRICT,2680,WILEY RE-13 JT,All Schools,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,2680,WILEY RE-13 JT,All Schools,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,940,482,458,- -,- -,- -
DISTRICT,2690,PUEBLO CITY 60,All Schools,PSAT,09,"   1,020",     937,      83,91.9,809,141,415,76,394,75,824,422,402,-15,-7,-8
DISTRICT,2690,PUEBLO CITY 60,All Schools,PSAT,10,     999,     864,     135,86.5,850,147,435,84,415,72,868,445,423,-18,-10,-8
DISTRICT,2690,PUEBLO CITY 60,All Schools,SAT,11,     917,     850,      67,92.7,917,159,469,83,448,87,928,474,454,-11,-5,-6
DISTRICT,2700,PUEBLO COUNTY 70,All Schools,PSAT,09,     781,     765,      16,98.0,885,151,451,83,434,78,874,445,428,11,6,6
DISTRICT,2700,PUEBLO COUNTY 70,All Schools,PSAT,10,     738,     727,      11,98.5,895,152,456,88,439,75,919,466,453,-24,-10,-14
DISTRICT,2700,PUEBLO COUNTY 70,All Schools,SAT,11,     659,     652,       7,98.9,955,171,484,88,471,94,987,503,484,-32,-19,-13
DISTRICT,2710,MEEKER RE1,All Schools,PSAT,09,      56,      56,       0,100.0,954,134,460,76,495,72,950,467,483,4,-7,12
DISTRICT,2710,MEEKER RE1,All Schools,PSAT,10,      45,      45,       0,100.0,941,132,462,76,479,65,975,476,499,-34,-14,-20
DISTRICT,2710,MEEKER RE1,All Schools,SAT,11,      43,      42,       1,97.7,1029,159,504,90,525,77,1010,498,512,19,6,13
DISTRICT,2720,RANGELY RE-4,All Schools,PSAT,09,      35,      35,       0,100.0,850,180,435,95,415,90,834,418,416,16,17,-1
DISTRICT,2720,RANGELY RE-4,All Schools,PSAT,10,      23,      22,       1,95.7,855,131,425,76,430,64,938,477,460,-83,-52,-30
DISTRICT,2720,RANGELY RE-4,All Schools,SAT,11,      24,      23,       1,95.8,991,126,496,79,495,61,975,500,476,16,-4,19
DISTRICT,2730,DEL NORTE C-7,All Schools,PSAT,09,      26,      24,       2,92.3,872,126,433,79,439,63,848,421,427,24,12,12
DISTRICT,2730,DEL NORTE C-7,All Schools,PSAT,10,      27,      24,       3,88.9,900,160,458,90,442,76,864,442,422,36,16,20
DISTRICT,2730,DEL NORTE C-7,All Schools,SAT,11,      33,      32,       1,97.0,893,142,452,75,441,76,953,479,474,-60,-27,-33
DISTRICT,2740,MONTE VISTA C-8,All Schools,PSAT,09,      97,      84,      13,86.6,813,160,415,80,397,90,834,428,406,-21,-13,-9
DISTRICT,2740,MONTE VISTA C-8,All Schools,PSAT,10,      97,      82,      15,84.5,851,133,435,78,416,61,844,428,416,7,7,0
DISTRICT,2740,MONTE VISTA C-8,All Schools,SAT,11,      84,      68,      16,81.0,885,160,452,78,434,92,913,468,445,-28,-16,-11
DISTRICT,2750,SARGENT RE-33J,All Schools,PSAT,09,      30,      30,       0,100.0,937,167,492,104,445,74,867,451,417,70,41,28
DISTRICT,2750,SARGENT RE-33J,All Schools,PSAT,10,      33,      33,       0,100.0,872,113,462,71,410,60,986,504,482,-114,-42,-72
DISTRICT,2750,SARGENT RE-33J,All Schools,SAT,11,      23,      23,       0,100.0,1037,103,544,61,493,53,957,495,463,80,49,30
DISTRICT,2760,HAYDEN RE-1,All Schools,PSAT,09,      36,      36,       0,100.0,894,138,461,75,433,71,887,447,440,7,14,-7
DISTRICT,2760,HAYDEN RE-1,All Schools,PSAT,10,      34,      34,       0,100.0,892,113,453,75,439,51,871,450,422,21,3,17
DISTRICT,2760,HAYDEN RE-1,All Schools,SAT,11,      21,      21,       0,100.0,916,160,471,111,444,66,1037,538,499,-121,-67,-55
DISTRICT,2770,STEAMBOAT SPRINGS RE-2,All Schools,PSAT,09,     228,     220,       8,96.5,995,158,494,88,501,83,994,496,498,1,-2,3
DISTRICT,2770,STEAMBOAT SPRINGS RE-2,All Schools,PSAT,10,     224,     212,      12,94.6,1031,167,517,92,514,88,1009,505,503,22,12,11
DISTRICT,2770,STEAMBOAT SPRINGS RE-2,All Schools,SAT,11,     195,     171,      24,87.7,1082,172,544,88,537,95,1086,544,542,-4,0,-5
DISTRICT,2780,SOUTH ROUTT RE 3,All Schools,PSAT,09,      41,      39,       2,95.1,933,143,465,79,468,68,937,476,461,-4,-11,7
DISTRICT,2780,SOUTH ROUTT RE 3,All Schools,PSAT,10,      23,      22,       1,95.7,978,173,492,103,486,73,990,502,487,-12,-10,-1
DISTRICT,2780,SOUTH ROUTT RE 3,All Schools,SAT,11,      26,      26,       0,100.0,1031,127,525,69,506,78,1061,532,529,-30,-7,-23
DISTRICT,2790,MOUNTAIN VALLEY RE 1,All Schools,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,2790,MOUNTAIN VALLEY RE 1,All Schools,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,2790,MOUNTAIN VALLEY RE 1,All Schools,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,2800,MOFFAT 2,All Schools,PSAT,09,      16,      16,       0,100.0,868,175,458,108,409,74,906,475,431,-38,-17,-22
DISTRICT,2800,MOFFAT 2,All Schools,PSAT,10,      19,      18,       1,94.7,914,163,486,104,428,64,- -,- -,- -,- -,- -,- -
DISTRICT,2800,MOFFAT 2,All Schools,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,2810,CENTER 26 JT,All Schools,PSAT,09,      42,      41,       1,97.6,820,149,410,79,411,80,768,389,379,52,21,32
DISTRICT,2810,CENTER 26 JT,All Schools,PSAT,10,      44,      44,       0,100.0,803,102,417,63,386,54,829,409,420,-26,8,-34
DISTRICT,2810,CENTER 26 JT,All Schools,SAT,11,      44,      44,       0,100.0,849,135,429,70,420,73,857,432,425,-8,-3,-5
DISTRICT,2820,SILVERTON 1,All Schools,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,2820,SILVERTON 1,All Schools,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,2820,SILVERTON 1,All Schools,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,2830,TELLURIDE R-1,All Schools,PSAT,09,      81,      75,       6,92.6,978,162,493,90,485,85,1028,517,511,-50,-24,-26
DISTRICT,2830,TELLURIDE R-1,All Schools,PSAT,10,      54,      51,       3,94.4,1056,193,535,107,520,103,994,504,490,62,31,30
DISTRICT,2830,TELLURIDE R-1,All Schools,SAT,11,      68,      64,       4,94.1,1108,220,554,113,554,118,1117,561,555,-9,-7,-1
DISTRICT,2840,NORWOOD R-2J,All Schools,PSAT,09,      18,      17,       1,94.4,913,122,459,65,454,69,- -,- -,- -,- -,- -,- -
DISTRICT,2840,NORWOOD R-2J,All Schools,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,934,459,475,- -,- -,- -
DISTRICT,2840,NORWOOD R-2J,All Schools,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,1018,519,499,- -,- -,- -
DISTRICT,2862,JULESBURG RE-1,All Schools,PSAT,09,      62,      25,      37,40.3,941,152,476,81,466,80,882,448,435,59,28,31
DISTRICT,2862,JULESBURG RE-1,All Schools,PSAT,10,     101,      50,      51,49.5,888,137,451,82,437,72,888,457,431,0,-6,6
DISTRICT,2862,JULESBURG RE-1,All Schools,SAT,11,      81,      55,      26,67.9,958,119,494,68,464,69,959,480,479,-1,14,-15
DISTRICT,2865,REVERE SCHOOL DISTRICT,All Schools,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,2865,REVERE SCHOOL DISTRICT,All Schools,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,2865,REVERE SCHOOL DISTRICT,All Schools,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,3000,SUMMIT RE-1,All Schools,PSAT,09,     266,     256,      10,96.2,918,167,457,87,461,88,939,470,469,-21,-13,-8
DISTRICT,3000,SUMMIT RE-1,All Schools,PSAT,10,     230,     224,       6,97.4,968,185,484,95,484,99,968,486,483,0,-2,1
DISTRICT,3000,SUMMIT RE-1,All Schools,SAT,11,     261,     254,       7,97.3,1021,202,509,103,512,109,1031,515,516,-10,-6,-4
DISTRICT,3010,CRIPPLE CREEK-VICTOR RE-1,All Schools,PSAT,09,      30,      28,       2,93.3,819,105,412,60,407,57,810,407,403,9,5,4
DISTRICT,3010,CRIPPLE CREEK-VICTOR RE-1,All Schools,PSAT,10,      20,      19,       1,95.0,824,128,423,75,401,64,- -,- -,- -,- -,- -,- -
DISTRICT,3010,CRIPPLE CREEK-VICTOR RE-1,All Schools,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,1044,543,501,- -,- -,- -
DISTRICT,3020,WOODLAND PARK RE-2,All Schools,PSAT,09,     178,     174,       4,97.8,883,157,450,88,433,81,914,462,452,-31,-12,-19
DISTRICT,3020,WOODLAND PARK RE-2,All Schools,PSAT,10,     208,     200,       8,96.2,922,160,475,91,447,80,900,452,448,22,23,-1
DISTRICT,3020,WOODLAND PARK RE-2,All Schools,SAT,11,     156,     145,      11,92.9,969,176,493,88,476,99,1010,507,503,-41,-14,-27
DISTRICT,3030,AKRON R-1,All Schools,PSAT,09,      25,      23,       2,92.0,823,107,420,67,403,53,918,463,455,-95,-43,-52
DISTRICT,3030,AKRON R-1,All Schools,PSAT,10,      22,      20,       2,90.9,908,148,463,92,446,66,- -,- -,- -,- -,- -,- -
DISTRICT,3030,AKRON R-1,All Schools,SAT,11,      16,      16,       0,100.0,942,159,494,82,448,97,1014,500,513,-72,-6,-65
DISTRICT,3040,ARICKAREE R-2,All Schools,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,3040,ARICKAREE R-2,All Schools,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,3040,ARICKAREE R-2,All Schools,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,3050,OTIS R-3,All Schools,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,825,409,416,- -,- -,- -
DISTRICT,3050,OTIS R-3,All Schools,PSAT,10,      18,      18,       0,100.0,871,113,435,67,436,52,- -,- -,- -,- -,- -,- -
DISTRICT,3050,OTIS R-3,All Schools,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,930,466,464,- -,- -,- -
DISTRICT,3060,LONE STAR 101,All Schools,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,3060,LONE STAR 101,All Schools,PSAT,10,      17,      16,       1,94.1,929,123,466,73,463,58,- -,- -,- -,- -,- -,- -
DISTRICT,3060,LONE STAR 101,All Schools,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,3070,WOODLIN R-104,All Schools,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,3070,WOODLIN R-104,All Schools,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,3070,WOODLIN R-104,All Schools,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,3080,WELD COUNTY RE-1,All Schools,PSAT,09,     144,     144,       0,100.0,829,147,423,79,406,80,823,416,408,6,7,-2
DISTRICT,3080,WELD COUNTY RE-1,All Schools,PSAT,10,     129,     127,       2,98.4,878,138,446,84,432,62,859,443,416,19,3,16
DISTRICT,3080,WELD COUNTY RE-1,All Schools,SAT,11,     124,     121,       3,97.6,896,165,451,86,445,88,922,469,453,-26,-18,-8
DISTRICT,3085,EATON RE-2,All Schools,PSAT,09,     161,     160,       1,99.4,913,142,464,74,449,77,937,477,460,-24,-13,-11
DISTRICT,3085,EATON RE-2,All Schools,PSAT,10,     138,     135,       3,97.8,967,145,491,84,477,73,940,476,464,27,15,13
DISTRICT,3085,EATON RE-2,All Schools,SAT,11,     130,     128,       2,98.5,991,177,499,92,492,96,1022,509,513,-31,-10,-21
DISTRICT,3090,WELD COUNTY SCHOOL DISTRICT RE-3J,All Schools,PSAT,09,     186,     180,       6,96.8,838,146,420,78,417,80,830,417,413,8,3,4
DISTRICT,3090,WELD COUNTY SCHOOL DISTRICT RE-3J,All Schools,PSAT,10,     164,     158,       6,96.3,855,134,432,83,423,60,862,435,427,-7,-3,-4
DISTRICT,3090,WELD COUNTY SCHOOL DISTRICT RE-3J,All Schools,SAT,11,     162,     158,       4,97.5,896,177,456,94,440,93,911,456,455,-15,0,-15
DISTRICT,3100,WINDSOR RE-4,All Schools,PSAT,09,     530,     519,      11,97.9,926,157,468,86,458,82,912,456,456,14,12,2
DISTRICT,3100,WINDSOR RE-4,All Schools,PSAT,10,     468,     455,      13,97.2,935,167,475,95,460,82,974,491,483,-39,-16,-23
DISTRICT,3100,WINDSOR RE-4,All Schools,SAT,11,     426,     419,       7,98.4,1015,193,512,100,503,103,1043,525,518,-28,-13,-15
DISTRICT,3110,JOHNSTOWN-MILLIKEN RE-5J,All Schools,PSAT,09,     265,     253,      12,95.5,866,161,435,85,431,86,882,448,435,-16,-13,-4
DISTRICT,3110,JOHNSTOWN-MILLIKEN RE-5J,All Schools,PSAT,10,     274,     256,      18,93.4,914,166,458,92,456,86,916,462,455,-2,-4,1
DISTRICT,3110,JOHNSTOWN-MILLIKEN RE-5J,All Schools,SAT,11,     261,     240,      21,92.0,979,178,489,88,490,101,1004,503,501,-25,-14,-11
DISTRICT,3120,GREELEY 6,All Schools,PSAT,09,"   1,673","   1,588",      85,94.9,839,160,426,85,413,85,834,422,413,5,4,0
DISTRICT,3120,GREELEY 6,All Schools,PSAT,10,"   1,524","   1,439",      85,94.4,870,151,441,86,428,75,873,446,426,-3,-5,2
DISTRICT,3120,GREELEY 6,All Schools,SAT,11,"   1,474","   1,402",      72,95.1,911,179,464,95,448,93,928,471,456,-17,-7,-8
DISTRICT,3130,PLATTE VALLEY RE-7,All Schools,PSAT,09,      89,      89,       0,100.0,918,159,447,82,471,85,865,426,439,53,21,32
DISTRICT,3130,PLATTE VALLEY RE-7,All Schools,PSAT,10,      87,      86,       1,98.9,899,164,446,83,453,92,908,454,454,-9,-8,-1
DISTRICT,3130,PLATTE VALLEY RE-7,All Schools,SAT,11,      84,      84,       0,100.0,954,169,473,88,481,90,998,496,502,-44,-23,-21
DISTRICT,3140,WELD COUNTY S/D RE-8,All Schools,PSAT,09,     177,     161,      16,91.0,793,123,396,62,397,73,811,396,414,-18,0,-17
DISTRICT,3140,WELD COUNTY S/D RE-8,All Schools,PSAT,10,     161,     145,      16,90.1,822,136,406,77,416,72,835,420,415,-13,-14,1
DISTRICT,3140,WELD COUNTY S/D RE-8,All Schools,SAT,11,     146,     130,      16,89.0,900,160,452,86,448,85,891,453,438,9,-1,10
DISTRICT,3145,AULT-HIGHLAND RE-9,All Schools,PSAT,09,      69,      67,       2,97.1,880,135,437,72,444,75,855,424,430,25,13,14
DISTRICT,3145,AULT-HIGHLAND RE-9,All Schools,PSAT,10,      74,      72,       2,97.3,875,164,435,87,441,87,914,459,455,-39,-24,-14
DISTRICT,3145,AULT-HIGHLAND RE-9,All Schools,SAT,11,      66,      61,       5,92.4,985,164,495,89,490,88,929,465,464,56,30,26
DISTRICT,3146,BRIGGSDALE RE-10,All Schools,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,3146,BRIGGSDALE RE-10,All Schools,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,916,460,457,- -,- -,- -
DISTRICT,3146,BRIGGSDALE RE-10,All Schools,SAT,11,      19,      18,       1,94.7,947,189,477,105,470,97,984,489,495,-37,-12,-25
DISTRICT,3147,PRAIRIE RE-11,All Schools,PSAT,09,      16,      16,       0,100.0,951,104,469,60,481,54,- -,- -,- -,- -,- -,- -
DISTRICT,3147,PRAIRIE RE-11,All Schools,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,1037,519,518,- -,- -,- -
DISTRICT,3147,PRAIRIE RE-11,All Schools,SAT,11,      17,      17,       0,100.0,989,251,490,122,499,134,- -,- -,- -,- -,- -,- -
DISTRICT,3148,PAWNEE RE-12,All Schools,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,3148,PAWNEE RE-12,All Schools,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,3148,PAWNEE RE-12,All Schools,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,3200,YUMA 1,All Schools,PSAT,09,      55,      55,       0,100.0,886,117,440,66,446,62,882,425,457,4,15,-11
DISTRICT,3200,YUMA 1,All Schools,PSAT,10,      68,      67,       1,98.5,898,138,446,81,452,68,840,401,438,58,45,14
DISTRICT,3200,YUMA 1,All Schools,SAT,11,      43,      42,       1,97.7,904,179,442,101,462,89,934,466,468,-30,-24,-6
DISTRICT,3210,WRAY RD-2,All Schools,PSAT,09,      53,      53,       0,100.0,911,181,456,91,455,96,900,453,447,11,3,8
DISTRICT,3210,WRAY RD-2,All Schools,PSAT,10,      53,      53,       0,100.0,902,170,468,108,434,71,940,482,457,-38,-14,-23
DISTRICT,3210,WRAY RD-2,All Schools,SAT,11,      42,      42,       0,100.0,963,163,499,87,464,86,928,472,456,35,27,8
DISTRICT,3220,IDALIA RJ-3,All Schools,PSAT,09,      19,      19,       0,100.0,819,165,415,80,405,93,- -,- -,- -,- -,- -,- -
DISTRICT,3220,IDALIA RJ-3,All Schools,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,3220,IDALIA RJ-3,All Schools,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,3230,LIBERTY J-4,All Schools,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,3230,LIBERTY J-4,All Schools,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,8001,CHARTER SCHOOL INSTITUTE,All Schools,PSAT,09,"   1,081","   1,018",      63,94.2,937,168,479,91,458,88,893,453,439,44,26,19
DISTRICT,8001,CHARTER SCHOOL INSTITUTE,All Schools,PSAT,10,"   1,194","   1,105",      89,92.5,956,180,490,101,466,89,968,494,474,-12,-4,-8
DISTRICT,8001,CHARTER SCHOOL INSTITUTE,All Schools,SAT,11,"   1,206","   1,100",     106,91.2,1037,198,528,101,510,108,1033,527,506,4,1,4
DISTRICT,9000,COLORADO SCHOOL FOR THE DEAF AND BLIND,All Schools,PSAT,09,      21,      20,       1,95.2,739,167,378,100,361,87,- -,- -,- -,- -,- -,- -
DISTRICT,9000,COLORADO SCHOOL FOR THE DEAF AND BLIND,All Schools,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,9000,COLORADO SCHOOL FOR THE DEAF AND BLIND,All Schools,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,9035,CENTENNIAL BOCES,All Schools,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,753,401,352,- -,- -,- -
DISTRICT,9050,SAN JUAN BOCES,All Schools,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,9050,SAN JUAN BOCES,All Schools,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,9050,SAN JUAN BOCES,All Schools,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,9130,EXPEDITIONARY BOCES,All Schools,PSAT,09,      16,      16,       0,100.0,934,134,469,86,464,59,927,473,454,7,-4,10
DISTRICT,9130,EXPEDITIONARY BOCES,All Schools,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,993,510,482,- -,- -,- -
DISTRICT,9130,EXPEDITIONARY BOCES,All Schools,SAT,11,      21,      18,       3,85.7,1087,156,554,81,532,84,1095,570,526,-8,-16,6
DISTRICT,9170,EDUCATION REENVISIONED BOCES,All Schools,PSAT,09,     230,      90,     140,39.1,851,172,445,94,406,90,855,439,416,-4,6,-10
DISTRICT,9170,EDUCATION REENVISIONED BOCES,All Schools,PSAT,10,     238,     101,     137,42.4,894,153,467,94,427,74,859,441,418,35,26,9
DISTRICT,9170,EDUCATION REENVISIONED BOCES,All Schools,SAT,11,     284,     138,     146,48.6,935,161,485,95,450,77,925,476,449,10,9,1
DISTRICT,9175,COLORADO RIVER BOCES,All Schools,PSAT,09,      21,      21,       0,100.0,743,118,387,68,356,67,NA,NA,NA,NA,NA,NA
DISTRICT,9175,COLORADO RIVER BOCES,All Schools,PSAT,10,      35,      34,       1,97.1,781,92,398,61,383,49,NA,NA,NA,NA,NA,NA
DISTRICT,9175,COLORADO RIVER BOCES,All Schools,SAT,11,      47,      47,       0,100.0,822,109,422,67,400,56,NA,NA,NA,NA,NA,NA
SCHOOL,0010,MAPLETON 1,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,PSAT,09,     129,     112,      17,86.8,821,125,410,72,411,64,785,401,384,36,9,27
SCHOOL,0010,MAPLETON 1,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,PSAT,10,     125,     105,      20,84.0,808,116,412,71,396,55,851,431,420,-43,-19,-24
SCHOOL,0010,MAPLETON 1,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,SAT,11,     100,      93,       7,93.0,904,152,458,84,446,78,939,472,467,-35,-14,-21
