district_name,total_student_count,participation_rate,total,evidence_based_reading_writing,math
HOLYOKE RE-1J,43.0,95.3,979.0,494.0,485.0
ASPEN 1,141.0,84.4,1089.0,542.0,547.0
LAMAR RE-2,99.0,94.9,926.0,467.0,459.0
HOLLY RE-3,18.0,94.4,931.0,454.0,477.0
PUEBLO CITY 60,917.0,92.7,917.0,469.0,448.0
PUEBLO COUNTY 70,659.0,98.9,955.0,484.0,471.0
MEEKER RE1,43.0,97.7,1029.0,504.0,525.0
RANGELY RE-4,24.0,95.8,991.0,496.0,495.0
DEL NORTE C-7,33.0,97.0,893.0,452.0,441.0
MONTE VISTA C-8,84.0,81.0,885.0,452.0,434.0
SARGENT RE-33J,23.0,100.0,1037.0,544.0,493.0
HAYDEN RE-1,21.0,100.0,916.0,471.0,444.0
STEAMBOAT SPRINGS RE-2,195.0,87.7,1082.0,544.0,537.0
SOUTH ROUTT RE 3,26.0,100.0,1031.0,525.0,506.0
CENTER 26 JT,44.0,100.0,849.0,429.0,420.0
TELLURIDE R-1,68.0,94.1,1108.0,554.0,554.0
JULESBURG RE-1,81.0,67.9,958.0,494.0,464.0
SUMMIT RE-1,261.0,97.3,1021.0,509.0,512.0
WOODLAND PARK RE-2,156.0,92.9,969.0,493.0,476.0
AKRON R-1,16.0,100.0,942.0,494.0,448.0
WELD COUNTY RE-1,124.0,97.6,896.0,451.0,445.0
EATON RE-2,130.0,98.5,991.0,499.0,492.0
WELD COUNTY SCHOOL DISTRICT RE-3J,162.0,97.5,896.0,456.0,440.0
WINDSOR RE-4,426.0,98.4,1015.0,512.0,503.0
JOHNSTOWN-MILLIKEN RE-5J,261.0,92.0,979.0,489.0,490.0
GREELEY 6,1474.0,95.1,911.0,464.0,448.0
PLATTE VALLEY RE-7,84.0,100.0,954.0,473.0,481.0
WELD COUNTY S/D RE-8,146.0,89.0,900.0,452.0,448.0
AULT-HIGHLAND RE-9,66.0,92.4,985.0,495.0,490.0
BRIGGSDALE RE-10,19.0,94.7,947.0,477.0,470.0
PRAIRIE RE-11,17.0,100.0,989.0,490.0,499.0
YUMA 1,43.0,97.7,904.0,442.0,462.0
WRAY RD-2,42.0,100.0,963.0,499.0,464.0
CHARTER SCHOOL INSTITUTE,1206.0,91.2,1037.0,528.0,510.0
EXPEDITIONARY BOCES,21.0,85.7,1087.0,554.0,532.0
EDUCATION REENVISIONED BOCES,284.0,48.6,935.0,485.0,450.0
COLORADO RIVER BOCES,47.0,100.0,822.0,422.0,400.0
MAPLETON 1,100.0,93.0,904.0,458.0,446.0
MAPLETON 1,63.0,100.0,905.0,459.0,445.0
MAPLETON 1,54.0,100.0,856.0,442.0,414.0
MAPLETON 1,94.0,97.9,879.0,447.0,431.0
MAPLETON 1,75.0,90.7,927.0,469.0,459.0
MAPLETON 1,46.0,97.8,848.0,430.0,418.0
MAPLETON 1,295.0,68.8,966.0,505.0,461.0
ADAMS 12 FIVE STAR SCHOOLS,158.0,67.1,775.0,392.0,383.0
ADAMS 12 FIVE STAR SCHOOLS,82.0,97.6,1226.0,619.0,607.0
ADAMS 12 FIVE STAR SCHOOLS,492.0,95.7,1019.0,508.0,511.0
ADAMS 12 FIVE STAR SCHOOLS,100.0,53.0,767.0,394.0,374.0
ADAMS 12 FIVE STAR SCHOOLS,571.0,94.6,1097.0,545.0,552.0
ADAMS 12 FIVE STAR SCHOOLS,438.0,95.9,860.0,433.0,427.0
ADAMS 12 FIVE STAR SCHOOLS,501.0,93.8,970.0,491.0,479.0
ADAMS 12 FIVE STAR SCHOOLS,463.0,94.4,912.0,459.0,453.0
ADAMS 12 FIVE STAR SCHOOLS,85.0,97.6,1191.0,593.0,598.0
ADAMS 12 FIVE STAR SCHOOLS,62.0,87.1,848.0,435.0,414.0
ADAMS 12 FIVE STAR SCHOOLS,16.0,100.0,1019.0,529.0,491.0
ADAMS COUNTY 14,60.0,85.0,760.0,394.0,367.0
ADAMS COUNTY 14,369.0,93.5,844.0,432.0,412.0
SCHOOL DISTRICT 27J,56.0,60.7,777.0,389.0,389.0
SCHOOL DISTRICT 27J,464.0,93.8,941.0,475.0,466.0
SCHOOL DISTRICT 27J,115.0,100.0,1044.0,530.0,514.0
SCHOOL DISTRICT 27J,473.0,96.8,919.0,464.0,455.0
BENNETT 29J,99.0,97.0,942.0,483.0,459.0
STRASBURG 31J,86.0,93.0,984.0,500.0,484.0
WESTMINSTER PUBLIC SCHOOLS,94.0,97.9,790.0,408.0,382.0
WESTMINSTER PUBLIC SCHOOLS,478.0,96.7,874.0,444.0,431.0
ALAMOSA RE-11J,139.0,96.4,952.0,480.0,473.0
SANGRE DE CRISTO RE-22J,21.0,95.2,1016.0,512.0,504.0
ENGLEWOOD 1,105.0,63.8,931.0,475.0,456.0
ENGLEWOOD 1,122.0,97.5,937.0,480.0,457.0
SHERIDAN 2,88.0,100.0,870.0,440.0,430.0
SHERIDAN 2,24.0,95.8,747.0,383.0,363.0
CHERRY CREEK 5,719.0,94.0,1079.0,543.0,536.0
CHERRY CREEK 5,929.0,86.8,1189.0,585.0,604.0
CHERRY CREEK 5,702.0,93.7,996.0,499.0,497.0
CHERRY CREEK 5,84.0,40.5,848.0,436.0,411.0
CHERRY CREEK 5,666.0,93.8,1094.0,548.0,546.0
CHERRY CREEK 5,549.0,93.3,968.0,479.0,488.0
CHERRY CREEK 5,491.0,91.6,1011.0,506.0,505.0
LITTLETON 6,538.0,93.5,1126.0,561.0,565.0
LITTLETON 6,386.0,96.6,1085.0,546.0,539.0
LITTLETON 6,274.0,90.9,1033.0,521.0,511.0
ADAMS-ARAPAHOE 28J,430.0,96.0,803.0,405.0,398.0
ADAMS-ARAPAHOE 28J,360.0,88.9,821.0,415.0,406.0
ADAMS-ARAPAHOE 28J,453.0,92.9,847.0,423.0,424.0
ADAMS-ARAPAHOE 28J,52.0,98.1,998.0,494.0,504.0
ADAMS-ARAPAHOE 28J,525.0,90.3,950.0,475.0,475.0
ADAMS-ARAPAHOE 28J,87.0,97.7,890.0,456.0,434.0
ADAMS-ARAPAHOE 28J,328.0,94.2,953.0,472.0,481.0
ADAMS-ARAPAHOE 28J,84.0,100.0,889.0,438.0,451.0
BYERS 32J,31.0,100.0,909.0,457.0,452.0
BYERS 32J,104.0,18.3,982.0,522.0,461.0
ARCHULETA COUNTY 50 JT,97.0,91.8,974.0,503.0,472.0
LAS ANIMAS RE-1,355.0,58.6,768.0,398.0,370.0
LAS ANIMAS RE-1,24.0,70.8,918.0,471.0,447.0
